TransactionID,Timestamp,Amount,MerchantID,CustomerID,IsInternational,TransactionType,TimeSinceLastTransaction,IsFraud
TX000001,1696118580.0,441.9378409480854,MERCH003,CUST0012,0.0,Transfer,7.660665199911402,0.0
TX000002,1696118400.0,438.552505943995,MERCH011,CUST0014,1.0,Withdrawal,3.8211515021871287,1.0
TX000003,1696118640.0,1926.30138800939,MERCH012,CUST0005,1.0,Withdrawal,7.049404012840047,0.0
TX000004,1696118540.0,0.1,MERCH015,CUST0018,0.0,Transfer,8.617138456945879,0.0
TX000005,1696118440.0,379.7840979290296,MERCH008,CUST0007,0.0,Withdrawal,18.39022431978539,0.0
TX000006,1696118400.0,1120.3917482616673,MERCH015,CUST0006,0.0,Purchase,15.227302658465515,0.0
TX000007,1696118520.0,578.7216846604889,MERCH016,CUST0008,0.0,Withdrawal,5.618307954419567,0.0
TX000008,1696118480.0,632.1142970076962,MERCH012,CUST0014,0.0,Withdrawal,10.599334447634671,0.0
TX000009,1696118460.0,728.074395308191,MERCH010,CUST0013,0.0,Transfer,3.4877891186570817,0.0
TX000010,1696118560.0,165.5116871403012,MERCH009,CUST0016,0.0,Purchase,14.528257075322422,0.0
TX000011,1696118480.0,125.99612033103762,MERCH014,CUST0002,0.0,Transfer,11.460719489709689,0.0
TX000012,1696118560.0,0.1,MERCH006,CUST0005,0.0,Purchase,18.15969497496434,0.0
TX000013,1696118780.0,0.1,MERCH002,CUST0012,1.0,Transfer,4.718347648336529,0.0
TX000014,1696118720.0,960.5237911746024,MERCH003,CUST0020,0.0,Withdrawal,5.805394743420323,0.0
TX000015,1696118700.0,572.8630822422687,MERCH001,CUST0002,0.0,Withdrawal,7.227675646462035,0.0
TX000016,1696118440.0,0.1,MERCH009,CUST0001,0.0,Withdrawal,10.884756739798606,0.0
TX000017,1696118520.0,415.7742599839123,MERCH015,CUST0001,0.0,Purchase,9.612455538957791,0.0
TX000018,1696118400.0,1013.6041874674904,MERCH009,CUST0020,0.0,Transfer,5.998916494563657,1.0
TX000019,1696118620.0,2257.7246954000184,MERCH009,CUST0003,1.0,Withdrawal,9.104815423138595,0.0
TX000020,1696118400.0,1357.2017167005727,MERCH018,CUST0004,1.0,Transfer,12.509215076472655,0.0
TX000021,1696118680.0,378.437250089577,MERCH008,CUST0011,0.0,Withdrawal,9.204910677307018,0.0
TX000022,1696118400.0,1524.167329963079,MERCH004,CUST0013,0.0,Purchase,15.328235894440507,0.0
TX000023,1696118520.0,529.4623816629605,MERCH020,CUST0014,0.0,Purchase,9.363135171104066,0.0
TX000024,1696118600.0,294.97947211669856,MERCH019,CUST0018,0.0,Transfer,8.793526323819329,0.0
TX000025,1696118500.0,164.95518072439592,MERCH019,CUST0009,1.0,Withdrawal,15.72569395356538,0.0
TX000026,1696118420.0,1350.3326221749371,MERCH010,CUST0005,1.0,Withdrawal,6.288216237602013,0.0
TX000027,1696118400.0,272.9535837059514,MERCH012,CUST0006,1.0,Withdrawal,10.88359266971898,1.0
TX000028,1696118440.0,382.4884531476051,MERCH012,CUST0010,0.0,Purchase,15.555582478946167,0.0
TX000029,1696118580.0,0.1,MERCH010,CUST0011,1.0,Purchase,8.917559503552056,0.0
TX000030,1696118740.0,0.1,MERCH007,CUST0011,0.0,Purchase,16.475358466565147,0.0
TX000031,1696118720.0,2339.497426092516,MERCH019,CUST0003,0.0,Purchase,16.1360451451878,0.0
TX000032,1696118600.0,708.4218901608472,MERCH018,CUST0002,0.0,Withdrawal,6.870619847067366,0.0
TX000033,1696118440.0,828.4461639738763,MERCH017,CUST0015,0.0,Withdrawal,3.0761205804720726,0.0
TX000034,1696118400.0,480.81341148197214,MERCH003,CUST0017,1.0,Withdrawal,7.578534339224017,0.0
TX000035,1696118480.0,366.0317719654652,MERCH019,CUST0015,0.0,Transfer,11.181641633742522,0.0
TX000036,1696118460.0,744.755041543186,MERCH004,CUST0006,0.0,Purchase,13.965678055559827,0.0
TX000037,1696118560.0,0.1,MERCH004,CUST0002,0.0,Purchase,18.56744190200676,0.0
TX000038,1696118540.0,324.2056371853768,MERCH010,CUST0016,0.0,Transfer,10.574246988360176,0.0
TX000039,1696118600.0,971.5305754873834,MERCH005,CUST0014,0.0,Withdrawal,12.107009219467031,0.0
TX000040,1696118640.0,1519.9585996501132,MERCH016,CUST0012,1.0,Purchase,15.250703643248539,0.0
TX000041,1696118460.0,112.65110829149967,MERCH003,CUST0004,1.0,Withdrawal,5.24148838635932,0.0
TX000042,1696118520.0,1227.2136622670673,MERCH013,CUST0018,1.0,Transfer,7.395676945959532,0.0
TX000043,1696118600.0,1915.7494501447427,MERCH007,CUST0010,0.0,Transfer,12.399722737461802,0.0
TX000044,1696118620.0,685.2728632183619,MERCH008,CUST0017,0.0,Transfer,10.036940873186731,0.0
TX000045,1696118460.0,1754.9768486106682,MERCH005,CUST0005,1.0,Purchase,8.517653770543197,1.0
TX000046,1696118640.0,416.44126605287454,MERCH012,CUST0018,0.0,Transfer,4.917651137589119,0.0
